mois,jour,région,tmin,tmax,tmoy
août,13,Pays de la Loire,19.25,25.35,22.3
août,13,Occitanie,17.51,26.55,22.03
août,14,Pays de la Loire,17.7,25.7,21.7
août,14,Hauts-de-France,18.92,23.4,21.16
août,14,Normandie,17.64,22.9,20.27
août,14,Centre-Val de Loire,17.83,24.32,21.08
août,15,Bretagne,12.55,24.62,18.59
août,15,Nouvelle-Aquitaine,16.22,29.27,22.74
août,15,Hauts-de-France,18.36,24.84,21.6
août,16,Nouvelle-Aquitaine,16.69,25.2,20.94
août,16,Normandie,16.76,24.08,20.42
août,16,Auvergne-Rhône-Alpes,17.17,27.25,22.21
août,17,Centre-Val de Loire,15.33,25.2,20.27
août,18,Auvergne-Rhône-Alpes,15.25,28.66,21.96
août,19,Pays de la Loire,17.45,25.0,21.22
août,19,Centre-Val de Loire,14.78,27.98,21.38
août,19,Nouvelle-Aquitaine,17.32,32.65,24.99
août,20,Île-de-France,19.5,32.24,25.87
août,20,Nouvelle-Aquitaine,19.46,33.55,26.51
août,21,Hauts-de-France,20.56,27.24,23.9
août,21,Île-de-France,20.3,29.08,24.69
août,21,Corse,19.7,31.95,25.83
août,22,Pays de la Loire,15.95,24.75,20.35
août,22,Île-de-France,16.1,26.12,21.11
août,23,Grand Est,15.84,23.8,19.82
août,23,Corse,20.45,30.15,25.3
août,23,Centre-Val de Loire,14.13,24.45,19.29
août,24,Provence-Alpes-Côte d'Azur,18.43,29.23,23.83
août,25,Bretagne,15.98,22.05,19.01
août,26,Centre-Val de Loire,16.15,25.1,20.62
août,26,Pays de la Loire,15.1,24.3,19.7
août,26,Normandie,15.16,22.04,18.6
août,26,Occitanie,18.17,30.22,24.2
août,27,Provence-Alpes-Côte d'Azur,19.12,32.53,25.83
août,27,Occitanie,17.45,31.9,24.68
août,27,Nouvelle-Aquitaine,14.65,27.89,21.27
août,28,Pays de la Loire,14.0,22.45,18.23
août,28,Bretagne,13.45,19.68,16.56
août,28,Centre-Val de Loire,14.55,23.2,18.88
août,29,Provence-Alpes-Côte d'Azur,17.75,21.82,19.78
août,29,Hauts-de-France,11.98,17.32,14.65
septembre,1,Auvergne-Rhône-Alpes,8.4,21.95,15.17
septembre,1,Pays de la Loire,9.3,23.75,16.52
septembre,2,Île-de-France,9.78,22.2,15.99
septembre,2,Provence-Alpes-Côte d'Azur,13.25,26.28,19.77
septembre,3,Corse,16.3,27.5,21.9
octobre,11,Corse,13.4,20.75,17.08
