Ranking;Name;Year;Minutes;Genres;Rating;Votes;Gross
1;Citizen Kane;1941;119;Drama, Mystery;8.3;442770;1.59
2;The Godfather;1972;175;Crime, Drama;9.2;1849989;134.97
3;The Wizard of Oz;1939;102;Adventure, Family, Fantasy;8.1;400883;2.08
4;The Shawshank Redemption;1994;142;Drama;9.3;2669409;28.34
5;Pulp Fiction;1994;154;Crime, Drama;8.9;2044257;107.93
6;Casablanca;1942;102;Drama, Romance, War;8.5;571769;1.02
7;The Third Man;1949;104;Film-Noir, Mystery, Thriller;8.1;172546;0.45
8;Star Wars: Episode V - The Empire Strikes Back;1980;124;Action, Adventure, Fantasy;8.7;1288916;290.48
9;Schindler's List;1993;195;Biography, Drama, History;9;1351515;96.90
10;Apocalypse Now;1979;147;Drama, Mystery, War;8.5;667041;83.47
11;Goodfellas;1990;145;Biography, Crime, Drama;8.7;1157302;46.84
12;Singin' in the Rain;1952;103;Comedy, Musical, Romance;8.3;243255;8.82
13;Psycho;1960;109;Horror, Mystery, Thriller;8.5;671547;32.00
14;2001: A Space Odyssey;1968;149;Adventure, Sci-Fi;8.3;668690;56.95
15;Fight Club;1999;139;Drama;8.8;2114891;37.03
16;Raging Bull;1980;129;Biography, Drama, Sport;8.2;355041;23.38
17;Taxi Driver;1976;114;Crime, Drama;8.2;830974;28.26
18;Seven Samurai;1954;207;Action, Drama;8.6;346255;0.27
19;The 400 Blows;1959;99;Crime, Drama;8.1;118841;-1
20;12 Angry Men;1957;96;Crime, Drama;9;788430;4.36
21;Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb;1964;95;Comedy, War;8.4;491519;0.28
22;Vertigo;1958;128;Mystery, Romance, Thriller;8.3;403060;3.20
23;The Good, the Bad and the Ugly;1966;148;Adventure, Western;8.8;760586;6.10
24;City Lights;1931;87;Comedy, Drama, Romance;8.5;185355;0.02
25;Gone with the Wind;1939;238;Drama, Romance, War;8.2;316450;198.68
26;On the Waterfront;1954;108;Crime, Drama, Thriller;8.1;156016;9.60
27;The Godfather: Part II;1974;202;Crime, Drama;9;1266873;57.30
28;The Dark Knight;2008;152;Action, Crime, Drama;9;2642297;534.86
29;Blade Runner;1982;117;Action, Drama, Sci-Fi;8.1;769365;32.87
30;Star Wars;1977;121;Action, Adventure, Fantasy;8.6;1361479;322.74
31;All About Eve;1950;138;Drama;8.2;132080;0.01
32;Raiders of the Lost Ark;1981;115;Action, Adventure;8.4;964502;248.16
33;Back to the Future;1985;116;Adventure, Comedy, Sci-Fi;8.5;1201245;210.61
34;Lawrence of Arabia;1962;218;Adventure, Biography, Drama;8.3;294655;44.82
35;Jaws;1975;124;Adventure, Thriller;8.1;606727;260.00
36;12 Years a Slave;2013;134;Biography, Drama, History;8.1;701099;56.67
37;The Apartment;1960;125;Comedy, Drama, Romance;8.3;182403;18.60
38;Chinatown;1974;130;Drama, Mystery, Thriller;8.2;327651;8.49
39;Some Like It Hot;1959;121;Comedy, Music, Romance;8.2;268154;25.00
40;The Cabinet of Dr. Caligari;1920;58;Horror, Mystery, Thriller;8;64769;-1
41;The Great Dictator;1940;125;Comedy, Drama, War;8.4;224605;0.29
42;The Lord of the Rings: The Fellowship of the Ring;2001;178;Action, Adventure, Drama;8.8;1869171;315.54
43;Alien;1979;117;Horror, Sci-Fi;8.5;881122;78.90
44;The Searchers;1956;119;Adventure, Drama, Western;7.9;90274;-1
45;Andrei Rublev;1966;205;Biography, Drama, History;8.1;54114;0.10
46;Spotlight;2015;129;Biography, Crime, Drama;8.1;470444;45.06
47;Once Upon a Time in the West;1968;165;Western;8.5;329886;5.32
48;Moonlight;2016;111;Drama;7.4;309111;27.85
49;Metropolis;1927;153;Drama, Sci-Fi;8.3;175168;1.24
50;The Lord of the Rings: The Return of the King;2003;201;Action, Adventure, Drama;9;1839981;377.85
51;Modern Times;1936;87;Comedy, Drama, Romance;8.5;243087;0.16
52;Aliens;1986;137;Action, Adventure, Sci-Fi;8.4;717340;85.16
53;It Happened One Night;1934;105;Comedy, Romance;8.1;104792;4.36
54;Laura;1944;88;Drama, Film-Noir, Mystery;7.9;48018;4.36
55;Terminator 2: Judgment Day;1991;137;Action, Sci-Fi;8.6;1096602;204.84
56;A Clockwork Orange;1971;136;Crime, Sci-Fi;8.3;829571;6.21
57;E.T. the Extra-Terrestrial;1982;115;Adventure, Family, Sci-Fi;7.9;410768;435.11
58;Nosferatu;1922;94;Fantasy, Horror;7.9;98586;-1
59;Snow White and the Seven Dwarfs;1937;83;Animation, Adventure, Family;7.6;200855;184.93
60;The Battle of Algiers;1966;121;Drama, War;8.1;60787;0.06
61;La Grande Illusion;1937;113;Drama, War;8.1;37045;0.17
62;North by Northwest;1959;136;Action, Adventure, Mystery;8.3;328876;13.28
63;Butch Cassidy and the Sundance Kid;1969;110;Biography, Crime, Drama;8;216969;102.31
64;Repulsion;1965;105;Drama, Horror, Thriller;7.6;53939;-1
65;The Maltese Falcon;1941;100;Crime, Film-Noir, Mystery;8;159534;2.11
66;Gravity;2013;91;Drama, Sci-Fi, Thriller;7.7;826295;274.09
67;Sunset Blvd.;1950;110;Drama, Film-Noir;8.4;222690;-1
68;King Kong;1933;100;Adventure, Horror, Sci-Fi;7.9;86311;10.00
69;Toy Story;1995;81;Animation, Adventure, Comedy;8.3;991954;191.80
70;Rear Window;1954;112;Mystery, Thriller;8.5;491937;36.76
71;Rashomon;1950;88;Crime, Drama, Mystery;8.2;169440;0.10
72;The Adventures of Robin Hood;1938;102;Action, Adventure, Romance;7.9;51609;3.98
73;A Hard Day's Night;1964;87;Comedy, Musical;7.5;45672;13.78
74;Bride of Frankenstein;1935;75;Drama, Horror, Sci-Fi;7.8;49517;4.36
75;M;1931;117;Crime, Mystery, Thriller;8.3;158782;0.03
76;The Philadelphia Story;1940;112;Comedy, Romance;7.9;69931;-1
77;The Treasure of the Sierra Madre;1948;126;Adventure, Drama, Western;8.2;125705;5.01
78;All Quiet on the Western Front;1930;152;Drama, War;8.1;63205;3.27
79;Bicycle Thieves;1948;89;Drama;8.3;164351;0.33
80;The Graduate;1967;106;Comedy, Drama, Romance;8;274457;104.95
81;Army of Shadows;1969;145;Drama, War;8.1;23945;0.74
82;A Streetcar Named Desire;1951;122;Drama;7.9;109083;8.00
83;The Night of the Hunter;1955;92;Crime, Drama, Film-Noir;8;90277;0.65
84;One Flew Over the Cuckoo's Nest;1975;133;Drama;8.7;1006194;112.00
85;Rebecca;1940;130;Drama, Film-Noir, Mystery;8.1;138092;4.36
86;Selma;2014;128;Biography, Drama, History;7.5;92112;52.08
87;Rosemary's Baby;1968;137;Drama, Horror;8;218496;-1
88;Frankenstein;1931;70;Drama, Horror, Sci-Fi;7.8;74068;-1
89;The General;1926;67;Action, Adventure, Comedy;8.2;92157;1.03
90;The Conformist;1970;113;Drama;7.9;31021;0.54
91;Touch of Evil;1958;95;Crime, Drama, Film-Noir;8;105312;2.24
92;Annie Hall;1977;93;Comedy, Romance;8;266637;39.20
93;It's a Wonderful Life;1946;130;Drama, Family, Fantasy;8.6;456120;-1
94;The Day the Earth Stood Still;1951;92;Drama, Sci-Fi;7.8;82531;-1
95;The Hurt Locker;2008;131;Drama, Thriller, War;7.5;453147;17.02
96;L.A. Confidential;1997;138;Crime, Drama, Mystery;8.2;583648;64.62
97;Mad Max: Fury Road;2015;120;Action, Adventure, Sci-Fi;8.1;1000410;154.06
98;Pinocchio;1940;88;Animation, Adventure, Comedy;7.5;148337;84.25
99;The 39 Steps;1935;86;Crime, Mystery, Thriller;7.6;57755;-1
100;Rome, Open City;1945;103;Drama, Thriller, War;8;26954;-1
